cow_id,ear_outline_visibility_code,ear_outline_at_least_one_visible,ear_outline_visibility_label_zh,ear_outline_annotation_source,annotation_version,annotated_on,notes,analysis_data_quality_code,analysis_include,analysis_data_quality_label_zh,analysis_data_quality_source,analysis_data_quality_annotated_on,analysis_data_quality_notes
24,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
25,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
26,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
27,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
28,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
29,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
30,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
31,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
32,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
33,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
34,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
35,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
36,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
37,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
38,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
39,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
40,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
41,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
42,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
43,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
44,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
45,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
46,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
47,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
48,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
49,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
50,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
51,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
52,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
53,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
54,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
55,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
56,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
57,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
58,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
59,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
60,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
61,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
62,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
63,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
64,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
65,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
66,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
67,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
68,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
69,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
70,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
71,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
72,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
73,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
74,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
75,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
76,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
77,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
78,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
79,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
80,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
81,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
82,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
83,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
84,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
85,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
86,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
87,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
88,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
89,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
90,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
91,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
92,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
93,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
94,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
95,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
96,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
97,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
98,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
99,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
100,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
101,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
102,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
103,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
104,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
105,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
106,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
107,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
108,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
109,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
110,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
111,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
112,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
113,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
114,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
115,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,unqualified,FALSE,不合格,user_review,2026-09-05,用户指定为不合格数据，后续分析排除
116,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
117,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
118,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
119,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
120,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
121,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
122,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
123,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
124,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
125,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
126,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
127,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
128,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
129,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
130,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
131,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
132,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
133,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
134,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
135,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
136,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
137,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
138,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
139,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
140,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
141,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
142,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
143,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
144,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
145,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
146,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
147,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,unqualified,FALSE,不合格,user_review,2026-09-05,用户指定为不合格数据，后续分析排除
148,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
149,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
150,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,pending,TRUE,待定,user_review,2026-09-06,头侧采用端点兜底，暂时搁置，待后续复核
151,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
152,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
153,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
154,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
